Company,ABN,Round,Amount (AUD),Currency,Announced,Investors,Headline,Announced By,Source URL,State,Sector
AUTO GRAB PTY LTD (AutoGrab),79638468569,Series B,80000000,AUD,2026-01-27,"Octopus Ventures (lead); Movac, Premier Capital Partners, EVP, Ten13",AI-based car valuation platform hits top get with $80 million Series B,Startup Daily,https://www.startupdaily.net/topic/funding/ai-based-car-valuation-platform-hits-top-get-with-80-million-series-b/,VIC,Automotive data / AI
APPLIED ELECTRIC VEHICLES LTD (Applied EV),19608467018,Series B,57000000,AUD,2026-01-28,"National Reconstruction Fund (lead, $30.7m); Barrenjoey, Japan Post Capital, Suzuki Motor Corporation, St Baker",Autonomous industrial EV platform drives $57 million Series B,Startup Daily,https://www.startupdaily.net/topic/funding/autonomous-industrial-ev-platform-drives-57-series-b/,VIC,Autonomous EVs / robotics
CHECKBOX TECHNOLOGY PTY LTD (Checkbox),35612175685,Series A,33000000,AUD,2026-01-29,"Touring Capital (lead); Peak XV, Tidal Ventures, Conductive Ventures, Five V Capital",Legal work AI agent Checkbox briefs $33 million Series A,Startup Daily,https://www.startupdaily.net/topic/funding/legal-work-ai-agent-checkbox-briefs-33-million-series-a/,NSW,Legaltech / AI
SPLOSE PTY. LTD. (Splose),54614286636,Series A,46000000,AUD,2026-02-09,"Spectrum Equity (lead); Athletic Ventures",AI allied health platform Splose raises $46 million Series A,SmartCompany,https://www.smartcompany.com.au/startupsmart/splose-raises-46-million-series-a-ai-allied-health/,SA,Healthtech / allied health SaaS
FARMOR SOFTWARE PTY LTD (trading as Fluency),39667892855,Seed,8550000,AUD,2026-02-09,"Accel (lead); DST Global Partners, Mixture of Experts, Carya Venture Partners, Archangel Ventures, NextGen Ventures",Atlassian's first investor leads $8.55 million Seed in workflows documentation startup Fluency,Startup Daily,https://www.startupdaily.net/topic/funding/atlassians-first-investor-leads-8-55-million-seed-in-workflows-documentation-startup-fluency/,VIC,AI / workflow documentation
LINESOFT PTY. LTD. (trading as Neara),84606633443,Series D,90000000,AUD,2026-02-10,"TCV (lead); Partners Group, EQT, Square Peg Capital, Skip Capital",Energy grid digital twin platform Neara turns unicorn with $90 million Series D,Startup Daily,https://www.startupdaily.net/topic/funding/energy-grid-digital-twin-platform-neara-turns-unicorn-with-90-million-series-d/,NSW,Energy / digital twin AI
OPERATA PTY LTD (Operata),33622149142,Series A,11000000,AUD,2026-02-10,"Tidal Ventures (lead); Glitch Capital, Ghost VC, Black Nova, Flying Fox Ventures",Call centre monitoring startup Operata dials in $11 million Series A,Startup Daily,https://www.startupdaily.net/topic/funding/call-centre-monitoring-startup-operata-dials-in-11-million-series-a/,VIC,CX observability / contact-centre AI
PROSEEK BIO PTY LTD (Proseek Bio),76671418401,Seed,1500000,AUD,2026-04-01,"Edale Capital, Scale Investors, Angel Loop, AusHealth (oversubscribed; no lead named)",Proseek Bio raises $1.5 million to bring ovarian cancer blood test to market,Capital Brief,https://www.capitalbrief.com/article/proseek-bio-raises-15-million-to-bring-ovarian-cancer-blood-test-to-market-66081d18-caa2-4de4-bd57-4fae054a3056/,QLD,Medtech / women's health diagnostics
KIMIA PTY LTD (Kimia),40667865250,Seed,7000000,AUD,2026-04-08,"Airtree Ventures (lead); Blackbird Ventures, Skip Capital",Chemicals industry AI firm Kimia raises $7m in seed round,Capital Brief,https://www.capitalbrief.com/briefing/chemicals-industry-ai-firm-kimia-raises-7m-in-seed-round-c87219aa-cae8-40a2-ba01-7ca23f426982/,NSW,AI / chemicals industry software
HAAST PTY LTD (Haast),52660516503,Series A,17000000,AUD,2026-04-10,"Peak XV Partners (lead); DST Global Partners, Airtree, Aura Ventures, Black Sheep Capital",AI marketing compliance startup Haast pockets $17 million Series A,Startup Daily,https://www.startupdaily.net/topic/funding/ai-marketing-compliance-startup-haast-pockets-17-million-series-a/,NSW,AI compliance software
BAYMATOB PTY. LTD. (Oli),74616391916,Series A3,6500000,AUD,2026-05-27,"Scale Investors, Clare Ventures, University of Sydney",Medtech startup Oli raises $6.5 million to predict birth complications before they happen,SmartCompany,https://www.smartcompany.com.au/startupsmart/medtech-startup-oli-raises-6-5-million-predict-birth-complications/,NSW,Medtech / maternal-fetal monitoring
FLYWEEL.CO PTY LTD (Flyweel),59685487754,Pre-seed,2410000,AUD,2026-06-16,"Ten13 (lead); Antler, QIC, angels incl. Koen Köppen, Larry Diamond, Matt Leibowitz",Advertising fintech Flyweel nabs $2.41 million pre-Seed,Startup Daily,https://www.startupdaily.net/topic/funding/advertising-fintech-flyweel-nabs-2-41-million-pre-seed/,QLD,Fintech / ad-spend financing
HC OPERATING PTY LTD (trading as Everlab),30664282553,Series A,65000000,AUD,2026-06-17,"Airtree Ventures (lead); Plural, Left Lane Capital, b2venture, Pat Cummins, Afterwork Ventures, Ten13, Flying Fox",Cricketer Pat Cummins backs longevity startup Everlab's $65 million Series A,Startup Daily,https://www.startupdaily.net/topic/funding/cricketer-pat-cummins-backs-longevity-startup-everlabs-65-million-series-a/,VIC,Healthtech / preventative health
SOUTHERNLAUNCH.SPACE PTY LTD (Southern Launch),33621420504,Series A,25000000,AUD,2026-07-01,"Brindabella and Company (lead); National Reconstruction Fund Corp (A$10M), Nicholas Moore, Alex Harvey, Coupland Asset Management",Australian rocket launch startup Southern Launch raises $25 million,SmartCompany,https://www.smartcompany.com.au/startupsmart/australian-rocket-launch-startup-southern-launch-raises-25-million/,SA,Space / launch services
EMESENT PTY LTD (Emesent),95626502350,SAFE (A$15M) + NRFC venture debt (A$10M),25000000,AUD,2026-07-02,"National Reconstruction Fund Corp (venture debt); Main Sequence Ventures, QIC, NGS Super, Hostplus, Orion Resource Partners",Robotics startup Emesent raises $25 million as NRFC unveils investment first,SmartCompany,https://www.smartcompany.com.au/startupsmart/robotics-startup-emesent-raises-25-million-nrfc-venture-debt/,QLD,Robotics / autonomous mapping
LENDUS PTY LTD (LendUs),36663090686,Seed,5000000,AUD,2026-07-08,Carthona Capital (lead),Sydney mortgage fintech LendUs banks $5 million Seed round,Startup Daily,https://www.startupdaily.net/topic/funding/sydney-mortgage-fintech-lendus-banks-5-million-seed-round/,NSW,Fintech / embedded mortgage broking
ENROLA PTY LTD (Enrola),38672915196,Seed,2100000,AUD,2026-08-07,"Purpose Ventures (lead); Antler, AfterWork Ventures, Skalata",Enrola's pivot to AI sales-tech lands $2.1 million Seed,Startup Daily,https://www.startupdaily.net/topic/funding/enrolas-pivot-to-ai-sales-tech-lands-2-1-million-seed/,QLD,AI sales agents
VEXEV PTY LTD (Vexev),32630437937,Pre-A,8600000,AUD,2026-08-08,"Existing: Blackbird, Neotribe, Startmate, Horizon; new: TreeArc Investment Group, TEN13, Bioshore, Alumni Ventures",UNSW medical robotics spinout raises $8.6m for US ambitions,Startup Daily,https://www.startupdaily.net/topic/funding/unsw-medical-robotics-spinout-raises-8-6m-for-us-ambitions/,NSW,Medtech / robotic vascular imaging
FABULATE PTY LTD (Fabulate),19629887501,Growth (unnamed round),4500000,AUD,2026-08-12,"Centerstone Capital, Nightingale Partners",Influencer marketing platform Fabulate raises $4.5 million,Startup Daily,https://www.startupdaily.net/topic/funding/influencer-marketing-platform-fabulate-raises-4-5-million/,NSW,Marketing tech / influencer platform
KANTOKO HEALTH PTY LTD (Kantoko),44686332436,Seed,3500000,AUD,2026-08-13,"Side Stage Ventures and Tenmile (co-leads); Go1 founders Vu Tran and Andrew Barnes",Serial founder Zac Altman seeds $3.5 million for his new ADHD startup,Startup Daily,https://www.startupdaily.net/topic/funding/serial-founder-zac-altman-seeds-3-5-million-for-his-new-adhd-startup/,NSW,Digital health / ADHD care
METACOGNITION PTY LTD (Metacognition AI),97688076226,Pre-seed,10000000,AUD,2026-09-10,Main Sequence,Australian AI lab caps $10 million pre-seed raise to run in global AI race,Forbes Australia,https://www.forbes.com.au/news/entrepreneurs/australian-ai-lab-metacognition-caps-record-pre-seed-raise/,SA,AI / robotics operating system
ELITA GENETICS OPERATIONS PTY LTD (Elita),37677915338,Seed,1900000,AUD,2026-09-14,"Boost VC (lead); Gandel Invest, Artesian's Female Leaders Fund, Touch Ventures, M8 Ventures",Canine health startup gets $1.9 million treat,Startup Daily,https://www.startupdaily.net/topic/funding/canine-health-startup-gets-1-9-million-treat/,VIC,Pet health / longevity
MEDICAL MINDS AI PTY LTD (trading as Medow Health),86671845828,Seed (follow-on tranche),3500000,AUD,2026-09-16,"Returning investors incl. Prof Michael Boyer, Dr Michael Solomon",Doctors microdose AI receptionist with another $3.5 million in Seed funding,Startup Daily,https://www.startupdaily.net/topic/funding/doctors-microdose-ai-receptionist-with-another-3-5-million-in-seed-funding/,NSW,Healthtech / AI front desk for specialist clinics
